Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
acronyms.thefreedictionary.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
cafecitoperez.ivanidzakovic.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,1
drive.google.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
goattlogin.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
hot-n-tot.tumblr.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
oboicity.ru,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
azizi-properties.ae,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
twilio.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0
houseoftiresbcs.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
halodoc.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
cew.safewallet.replayattack.us,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
vk0ntakto3.webservis.ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
shifawll1.ae,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1
accofestival.co.il,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1,1
personalcomputerneeds.blogspot.ru,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
unsw.co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
irfantrading.com,0,0,1,5,0,0,0,0,0,1,0,1,1,0,1,0,1
67.199.68.195,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
theselfsufficientliving.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
researchgate.net,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
geni.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
smartinsights.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
panduit.com,0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0
secure-login-portal-outlook.el.r.appspot.com,0,0,1,2,0,0,1,1,1,1,1,1,0,0,1,0,1
viccats.camcam.dns-cloud.net,0,0,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1
nef.com.pk,0,0,1,8,0,0,0,0,0,1,1,1,1,1,1,1,1
user9765656787.et.r.appspot.com,0,0,1,4,0,0,1,0,1,1,1,1,0,0,1,0,1
buscounviaje.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
paypal-support-help-inc.blogspot.be,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
mhschool.com,0,0,1,6,0,0,0,0,0,0,1,0,1,1,1,1,0
commons.wikimedia.org,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
