Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
noreply-netelle.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1
pro-labs.imdb.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
bibliotecabayer.org.ar,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
expeditions-of-e.com,0,0,1,3,0,0,0,1,0,1,0,0,1,1,1,1,1
buff.ly,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
secured-signon.serveirc.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
horoscopoarcanos.podbean.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
nutritics.com,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
dydy2.app.link,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
bcpzonasegurabeta.viabcp.com,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
picturesongold.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
kongregate.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
boconceptla.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1
bedslide.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
foodnetwork.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0
pdinfo.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
chocolatelinesq13.live,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
alikesignature.com,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1
paypalsigninfo.deisemelo.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
primeraedicion.com.ar,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
saylor.org,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0
de.cam.exposed,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
outredase.bsfrweopafseekd.gdre4232r.clearpointsupplies.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
sfu.ca,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
www-bancoestado.cl.dev.decorativescreensdirect.com.au,0,0,1,4,0,0,1,1,0,0,1,1,1,1,1,1,1
candy.bos.ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
grandepornogratis.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
richmond.edu,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
courgeon-immobilier.fr,0,0,1,6,0,0,0,1,0,1,0,0,0,0,1,0,1
stackoverflow.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
perabetgirs.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
atendimentocentralbcb.kinghost.net,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
Cisco.com,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,0
foodprocessing.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
apple-support.mauriciochaveiro.com.br,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1
vakantieverhuur.be,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
dxzone.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
authorstream.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
franktechnik.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
ebay.co.uk,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
ru.wikipedia.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
choosenissan.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
designboom.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
sangharakshita.org,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
revistaclipa.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
logln-office365-0nline.wm.r.appspot.com,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1
es.wikipedia.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
burlesque-dessous.de,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
saint-juste.narod.ru,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
phogovip.vn,0,1,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
youtube.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
danielbranch.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
justsayingbro.com,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1
ipack-dsk-ship.com,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,1
oneaim.lu,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
storiediunabarbomamma.wordpress.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
wonodds.club,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1
betasus4.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
support-appleld.com.secureupdate.duilawyeryork.com,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1
shadetreetechnology.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
refworld.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
shift2.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1
sonofabridge.com.net2care.com,0,0,1,2,1,0,0,0,0,1,0,1,0,0,1,0,1
nmpgolf.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
ShopoTam.ru,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
kjsa.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
alterhouz.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
webcountdown.de,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
thehelpcompany.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
interfacebus.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
todayshomeowner.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
classedeprimaire.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
c2fn4qwg-6suzr9zso.vercel.app,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
jreg99.com,0,0,1,9,0,0,0,0,0,1,1,1,1,0,1,0,1
hostpoint.ch.0f79025d.net2care.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
maxlines.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
papermasters.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
sandlewoodlilakristen.blogspot.com,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
accountspotwdfweefopuriuityur.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
thinclient.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
au.whogivesacrap.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
studymode.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
luxurylodgesofaustralia.com.au,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1
eawibp.org,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,1
betasusorjinal1.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
savetree.org.in,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1
